NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
     Out of pocket,"2,570","2,596","2,890","3,007","3,141","3,446","3,600","3,720","4,130","4,374","4,544","4,767","5,052","5,361","5,747","6,118","6,547","6,846","7,238","7,614","8,648","9,037","10,518","11,532","12,833","13,955","15,875","16,846","18,880","20,801","23,127","23,828","23,954","24,382","23,745","23,801","24,725","26,178","28,123","31,439","34,732","37,738","45,457","50,080","52,605","55,754","56,482","56,768","54,278","51,684","47,738","45,268","45,113","44,662","48,549","52,009","50,296","47,280","47,393","48,506","46,460"
     Health Insurance,37,40,44,44,80,125,277,431,522,681,881,"1,031","1,182","1,357","1,563","1,805","2,031","2,197","2,487","2,905","3,138","4,049","4,165","5,374","6,290","7,208","7,654","9,170","10,734","12,703","15,668","18,968","21,371","23,502","27,459","33,951","41,147","48,977","57,542","70,538","83,358","98,224","109,155","123,770","137,090","146,543","165,404","176,649","184,339","196,803","200,140","205,781","207,310","210,164","237,723","255,727","258,636","264,169","272,313","285,034","297,587"
          Private Health Insurance,33,36,40,40,76,122,171,223,298,376,457,528,609,702,810,916,"1,040","1,138","1,356","1,646","1,706","2,412","2,463","3,432","4,030","4,820","4,589","5,662","6,771","8,430","10,340","12,619","14,110","15,305","18,219","23,384","29,092","35,148","41,372","50,974","59,907","70,094","75,509","83,769","91,844","99,469","99,555","104,900","107,647","115,088","114,326","115,339","112,818","110,062","122,821","130,547","129,109","130,385","133,839","137,731","140,888"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,2,13,32,58,82,115,156,198,253,318,406,568,749,890,"1,125","1,407","1,564","1,810","1,863","1,862","2,707","3,157","38,570","44,640","48,795","52,215","56,295","60,266","63,942","69,758","79,453","86,370","89,902","93,534","97,227","104,540","109,859"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,103,205,219,300,417,495,563,644,739,871,969,"1,036","1,107","1,236","1,408","1,611","1,669","1,907","2,219","2,332","2,986","3,396","3,814","4,083","5,077","6,043","6,883","7,721","8,627","9,700","10,824","12,222","14,031","16,647","19,771","23,378","27,523","32,238","35,852","36,530","19,122","18,347","19,242","20,357","20,423","20,782","21,049","21,163","25,266","27,681","29,328","29,402","30,431","31,735","34,546"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,50,99,114,165,224,281,308,336,419,478,576,587,613,701,815,923,952,"1,092","1,263","1,319","1,691","1,916","2,183","2,342","2,919","3,445","4,029","4,551","4,974","5,543","6,238","6,998","8,003","9,525","11,301","13,393","15,700","19,243","21,127","20,966","10,960","10,562","11,487","13,599","13,791","12,448","11,461","11,655","16,414","18,478","19,505","19,577","19,884","20,859","25,143"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,53,106,106,135,193,214,255,308,321,392,394,449,493,536,593,688,717,815,956,"1,013","1,295","1,480","1,631","1,741","2,158","2,598","2,854","3,169","3,653","4,157","4,586","5,225","6,029","7,121","8,469","9,985","11,823","12,995","14,725","15,563","8,162","7,785","7,755","6,757","6,632","8,335","9,588","9,508","8,852","9,203","9,823","9,825","10,546","10,876","9,403"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,47,173,301,408,612,953,930,"1,053",977,"1,155","1,162","1,363","1,407","1,441","1,523","1,471","1,390","1,572","1,809","1,990","2,001","2,062","2,204"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,33,122,213,290,433,676,661,747,689,813,828,976,"1,004","1,032","1,073","1,032",996,"1,171","1,686","1,882","1,898","1,912","1,869"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,14,51,89,118,178,277,268,306,288,342,334,386,403,409,450,439,394,401,123,107,104,150,336
         Department of Defense,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,2,3,5,6,5,6,9,10,11,11,11,11,13,20,22,27,34,38,43,57,65,84,98,114,145,179,213,259,312,338,471,667,"1,039","1,821","2,717","3,279","3,629","4,427","4,704","4,732","4,944","4,726","4,792","4,858","4,914","5,768","6,281","4,924","4,947","4,861","4,869","5,280"
         Department of Veterans Affairs,4,4,4,4,3,3,3,3,3,3,3,4,5,5,7,9,12,11,12,12,13,13,13,12,11,10,10,10,11,9,10,10,10,12,28,86,223,405,628,866,"1,148","1,495","1,827","2,231","2,478","2,704","2,753","2,903","2,762","2,837","2,963","3,161","3,119","2,795","3,024","3,275","3,564","3,911","3,954","4,097","4,810"
     Other Third Party Payers and Programs,68,82,95,108,126,144,108,76,90,94,72,80,90,100,112,130,145,154,166,225,263,312,347,417,495,631,761,873,"1,031","1,253","1,495","1,584","1,648","1,667","1,815","2,014","2,212","2,481","2,858","3,317","3,913","4,621","5,200","5,804","5,943","6,298","6,214","5,918","5,707","5,767","5,494","5,281","4,574","4,549","4,375","4,504","4,408","4,406","4,494","4,600","4,364"
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,1,1,1,1,2,3,5,6,8,11,13,15,17,20,23,26,29,32,38,46,48,67,69,96,113,134,129,158,189,235,289,351,392,431,510,650,800,962,"1,133","1,384","1,624","1,891","2,119","2,242","2,214","2,333","2,182","2,152","2,073","2,221","2,148","2,126","2,015","2,106","2,312","2,539","2,555","2,546","2,571","2,688","2,413"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,5,6,8,8,8,9,9,9,10,10,12,13,14,15,16,16,17,17,19,22,25,25,26,26,28,28,28,27,29,29,30
         Workers' Compensation,9,9,10,11,11,12,14,15,17,19,21,23,25,30,33,36,40,42,45,51,55,59,67,78,91,106,125,144,172,208,245,271,287,290,276,290,317,357,413,501,567,662,678,738,763,782,730,748,803,809,806,824,783,803,890,892,847,827,857,867,813
         General Assistance,4,4,3,4,4,4,8,15,27,27,29,31,35,39,43,53,60,63,65,109,141,167,191,221,270,366,481,542,640,779,929,924,927,904,985,"1,027","1,045","1,107","1,253","1,365","1,646","1,983","2,311","2,726","2,866","3,082","3,200","2,910","2,718","2,624","2,424","2,096","1,360","1,233","1,021",958,896,923,952,930,"1,021"
         Maternal/Child Health,1,1,2,2,3,3,5,6,8,9,8,9,10,9,11,12,13,14,15,16,16,16,16,18,17,20,21,23,24,26,27,30,32,33,34,36,39,44,47,56,62,68,74,78,80,79,79,85,89,85,80,75,68,69,79,80,75,75,77,78,80
                          Federal  ,1,1,1,1,2,2,3,5,6,7,5,7,8,7,8,9,10,11,11,12,12,11,11,13,11,13,13,14,15,16,16,17,18,18,19,19,20,22,23,27,29,32,34,35,36,35,35,35,34,33,32,31,28,28,31,31,30,29,30,31,31
                          State and Local,  -    ,  -    ,1,1,1,1,1,1,2,2,3,3,2,2,3,3,3,3,3,4,4,5,5,5,6,7,9,9,10,10,11,13,14,15,16,17,19,22,24,29,33,37,40,43,44,44,44,50,56,52,49,44,40,41,48,48,45,46,47,47,48
         Vocational Rehabilitation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Federal Programs*,28,36,44,53,53,53,38,20,17,15,1,1,1,1,1,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,4,130,316,306,39,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other State and Local Programs**,26,30,34,38,53,68,38,13,13,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
         School Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,103,205,219,300,417,495,563,644,739,871,969,"1,036","1,107","1,236","1,408","1,611","1,669","1,908","2,222","2,345","3,017","3,454","3,896","4,198","5,233","6,241","7,136","8,039","9,033","10,267","11,573","13,113","15,203","18,226","21,636","25,596","29,998","35,053","39,489","40,740","58,669","64,142","69,199","73,934","78,125","82,489","86,515","92,392","106,110","115,624","121,039","124,926","129,659","138,337","146,609"
Total Durable Medical Equipment Expenditures,740,765,910,901,"1,004","1,105","1,242","1,128","1,317","1,512","1,747","1,799","2,032","2,247","2,506","2,801","2,987","3,205","3,447","3,781","4,054","4,330","4,570","5,250","6,142","7,056","8,067","9,466","11,078","11,887","13,767","13,081","13,498","14,140","15,318","15,860","17,432","19,218","21,330","22,163","26,024","25,363","29,660","30,733","33,230","36,203","39,659","43,372","42,659","41,378","39,964","40,565","43,259","44,921","46,558","48,660","50,565","51,866","54,356","57,036","54,904"
     Out of pocket,685,706,842,831,927,"1,019","1,128",987,"1,147","1,297","1,499","1,528","1,716","1,884","2,055","2,252","2,382","2,498","2,619","2,781","2,951","3,074","3,146","3,561","4,219","4,880","5,601","6,625","7,798","8,145","9,449","8,535","8,498","8,618","9,204","9,013","9,941","11,001","12,787","13,106","15,597","14,130","16,016","16,444","18,205","19,620","21,057","23,804","22,456","21,098","19,729","19,380","20,602","21,866","22,272","22,524","23,485","23,771","24,115","25,395","23,270"
     Health Insurance,40,40,49,50,55,61,85,108,130,169,196,213,253,296,373,463,515,610,723,882,981,"1,135","1,297","1,545","1,755","1,979","2,237","2,575","2,968","3,386","3,910","4,149","4,598","5,119","5,705","6,446","7,071","7,759","8,033","8,496","9,817","10,620","12,907","13,568","14,280","15,776","17,736","18,648","19,301","19,390","19,369","20,261","21,694","22,043","23,278","25,106","26,023","27,039","29,103","30,494","30,541"
          Private Health Insurance,40,40,49,50,55,61,75,82,91,113,133,151,185,210,251,305,332,396,457,550,565,570,564,616,705,786,869,997,"1,220","1,336","1,515","1,384","1,350","1,441","1,633","1,718","1,953","2,238","2,732","2,970","3,741","3,630","4,852","4,716","5,095","5,980","7,040","7,564","7,135","7,253","6,856","7,525","8,156","8,418","8,838","9,722","10,591","10,955","11,993","12,126","10,584"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,6,16,21,25,28,35,42,51,71,94,115,148,198,247,326,447,573,748,865,976,"1,111","1,274","1,388","1,565","1,812","2,044","2,359","2,617","2,797","3,202","3,463","3,905","3,737","3,880","4,199","4,479","5,273","6,021","6,231","6,435","6,886","7,017","7,892","7,488","7,508","7,532","8,087","7,803","7,779","7,950","7,632","8,099","8,870","9,835","11,202"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,5,9,18,32,35,27,26,36,51,65,68,66,67,86,90,118,160,181,185,217,256,303,360,484,583,721,889,"1,062","1,276","1,526","1,655","1,615","1,560","1,616","1,835","2,467","2,709","2,768","2,896","3,296","3,749","3,988","4,189","4,573","4,918","5,099","5,331","5,688","6,536","7,299","7,628","7,800","8,053","8,328","8,541"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,3,6,11,18,20,15,15,21,28,36,35,36,37,47,51,67,90,102,104,123,146,173,202,277,333,428,534,635,762,898,978,949,910,956,"1,080","1,454","1,596","1,734","1,763","1,947","2,187","2,337","2,530","3,107","3,464","3,249","3,213","3,436","4,225","4,846","5,102","5,163","5,339","5,611","6,172"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,2,3,7,14,14,12,11,15,22,28,33,30,29,39,40,52,71,79,81,95,110,130,158,207,250,294,355,427,514,629,677,666,650,660,754,"1,013","1,113","1,034","1,133","1,349","1,561","1,651","1,660","1,466","1,454","1,851","2,117","2,252","2,311","2,452","2,526","2,636","2,714","2,717","2,369"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,4,30,43,44,73,64,58,65,62,79,85,76,88,104,119,133,124,135,172,185,187,204,214
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,3,21,29,32,51,46,42,48,45,57,63,56,64,76,87,96,90,105,158,170,174,186,180
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,10,13,12,21,18,15,18,17,22,22,20,24,28,33,37,34,30,15,15,13,18,34
         Department of Defense,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Department of Veterans Affairs,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
     Other Third Party Payers and Programs,16,18,19,20,22,24,29,33,40,47,52,58,62,67,77,85,89,97,105,117,121,121,126,144,167,197,229,267,312,357,409,397,402,403,409,401,421,458,510,560,609,613,736,721,745,807,866,920,903,889,865,924,964,"1,013","1,008","1,030","1,058","1,055","1,138","1,147","1,093"
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,1,1,1,1,2,2,2,2,2,3,4,4,5,6,7,8,9,11,12,15,15,16,15,17,19,21,24,27,33,36,41,38,37,39,45,47,53,61,75,86,98,97,106,111,112,122,125,134,128,137,140,146,141,153,163,180,193,203,225,248,233
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,8,9,9,10,10,10,10,10,10,10,10,11
         Workers' Compensation,9,9,10,11,11,12,14,15,17,19,21,23,25,30,34,39,42,45,48,55,56,58,62,72,87,105,127,155,189,216,254,243,251,252,242,234,247,269,303,335,359,365,465,442,451,501,551,574,564,539,513,571,604,641,653,663,680,666,718,699,657
         General Assistance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,2,3,6,8,5,5,17,21,22,13,10,12,9,8,6,6,12,14,13,18,21,32,31,31,40,36,42,41,27,23,24,23,22,20,20,24,26,27
         Maternal/Child Health,2,3,3,4,4,4,5,7,10,12,11,12,14,13,15,16,17,18,20,21,22,22,21,23,24,29,32,37,40,40,42,41,43,44,47,46,49,53,56,58,66,61,68,67,68,69,69,79,82,72,66,61,59,61,64,63,60,61,63,63,65
                          Federal  ,1,1,1,1,1,2,3,4,6,7,6,7,9,8,9,10,11,12,12,13,13,12,11,12,11,14,14,16,17,17,18,17,17,17,17,16,17,17,18,18,20,18,20,19,20,20,20,20,19,17,16,16,16,15,15,15,15,15,15,15,16
                          State and Local,2,2,2,2,2,2,3,3,4,5,5,5,5,5,6,6,6,7,7,9,10,10,10,11,13,15,19,21,23,23,25,25,26,27,29,29,32,36,38,39,46,43,48,48,48,49,50,59,63,55,50,46,43,46,49,47,45,46,48,48,49
         Vocational Rehabilitation,4,4,4,4,4,5,6,8,9,12,15,17,17,17,20,21,19,21,23,24,24,24,25,28,30,32,34,38,40,42,45,48,51,51,57,59,58,61,62,63,65,70,71,72,73,75,80,83,83,87,94,93,89,88,88,90,91,92,94,96,98
                          Federal  ,2,2,2,3,3,3,5,6,7,9,12,13,13,13,15,16,15,16,17,18,19,18,18,21,23,24,26,29,31,32,34,37,39,38,43,44,43,46,47,48,49,53,54,56,57,58,60,62,63,67,73,73,69,68,68,69,70,71,72,74,76
                          State and Local,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,9,9,10,10,11,12,13,14,15,15,15,15,15,16,17,17,17,17,17,20,21,19,20,20,20,20,20,20,21,21,21,22,22,22
         Other Federal Programs*,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,1,1,1,1,1,1,1,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,14,34,33,4,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other State and Local Programs**,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
